h,creal,cimag,condition,c,extrapolation
0.03225806451612912,0.2374667850885493,0.003793726950988686,0.07358776463096632,(0.2374667850885493+0.003793726950988686j),
0.015873015873015928,0.2375207807552321,0.003742648548644149,0.14577824918359875,(0.2375207807552321+0.003742648548644149j),(0.23752414339954575+0.003739467580434181j)
0.007874015748031593,0.2375261095920796,0.0037398530905541775,0.29338075220842064,(0.2375261095920796+0.0037398530905541775j),(0.23752645307741851+0.0037396729013502387j)
0.0039215686274510775,0.2375264649803385,0.003739681904618525,0.5887294530869631,(0.2375264649803385+0.003739681904618525j),(0.2375264882791998+0.003739670681857854j)
0.00195694716242667,0.2375264873342759,0.003739671323524937,1.1794454762821838,(0.2375264873342759+0.003739671323524937j),(0.23752648881213817+0.0037396706239882656j)
0.0009775171065494748,0.2375264887278241,0.0037396706666087327,2.36088108789662,(0.2375264887278241+0.0037396706666087327j),(0.2375264888203405+0.003739670622996659j)
0.0004885197850513778,0.23752648881468666,0.003739670625714514,4.723753387224446,(0.23752648881468666+0.003739670625714514j),(0.23752648882046543+0.0037396706229939104j)
0.00024420024420035435,0.23752648882006797,0.0037396706231594226,9.449498436071398,(0.23752648882006797+0.0037396706231594226j),(0.23752648882042635+0.0037396706229892605j)
0.00012208521548051632,0.23752648882033686,0.0037396706228950702,18.900988747915672,(0.23752648882033686+0.0037396706228950702j),(0.2375264888203548+0.003739670622877456j)
6.103888176778316e-05,0.2375264888204933,0.0037396706232907797,37.803969477372796,(0.2375264888204933+0.0037396706232907797j),(0.23752648882050373+0.0037396706233171536j)
